,n_components,alpha,reconstruction error,log_alpha
0,1,0.1,0.9103230260781006,-2.3025850929940455
1,1,0.1,1.8127692790343823,-2.3025850929940455
2,1,0.1,1.1750567798558633,-2.3025850929940455
3,1,0.1,1.4609040481843185,-2.3025850929940455
4,1,0.1,0.6390590109622835,-2.3025850929940455
5,1,0.1,0.860102466099589,-2.3025850929940455
6,1,0.1,1.4645458179110495,-2.3025850929940455
7,1,0.1,1.246788170741324,-2.3025850929940455
8,1,0.1,1.4050592107023645,-2.3025850929940455
9,1,0.1,0.7815786349431236,-2.3025850929940455
10,1,0.1,1.3940958280528326,-2.3025850929940455
11,1,0.1,1.9950500110456209,-2.3025850929940455
12,1,0.1,1.0440564938231582,-2.3025850929940455
13,1,0.1,2.0478879040485367,-2.3025850929940455
14,1,0.1,1.966436801479142,-2.3025850929940455
15,1,0.1,1.880178793959375,-2.3025850929940455
16,1,0.1,1.6423495139728759,-2.3025850929940455
17,1,0.1,0.5780943545509607,-2.3025850929940455
18,1,0.1,1.0403813902776073,-2.3025850929940455
19,1,0.1,1.1293510864489686,-2.3025850929940455
20,1,0.1,1.1184246829028441,-2.3025850929940455
21,1,0.1,1.013565802847186,-2.3025850929940455
22,2,0.1,0.8195175216323133,-2.3025850929940455
23,2,0.1,1.0123491672013243,-2.3025850929940455
24,2,0.1,1.0255532801248282,-2.3025850929940455
25,2,0.1,0.75029724255742,-2.3025850929940455
26,2,0.1,0.5545863888671068,-2.3025850929940455
27,2,0.1,0.7234692777168621,-2.3025850929940455
28,2,0.1,1.2921194692187117,-2.3025850929940455
29,2,0.1,1.0352273501437,-2.3025850929940455
30,2,0.1,1.1664975796040393,-2.3025850929940455
31,2,0.1,0.6597772636396859,-2.3025850929940455
32,2,0.1,0.92512067564768,-2.3025850929940455
33,2,0.1,1.4512449276842676,-2.3025850929940455
34,2,0.1,0.9818635759499302,-2.3025850929940455
35,2,0.1,0.8631431322813714,-2.3025850929940455
36,2,0.1,0.9009536745875824,-2.3025850929940455
37,2,0.1,1.177341638463556,-2.3025850929940455
38,2,0.1,1.1703390573502592,-2.3025850929940455
39,2,0.1,0.46255442784897866,-2.3025850929940455
40,2,0.1,0.7790462842379292,-2.3025850929940455
41,2,0.1,1.0790209811093419,-2.3025850929940455
42,2,0.1,1.080092648588304,-2.3025850929940455
43,2,0.1,0.7840937663343309,-2.3025850929940455
44,3,0.1,0.7724027995007492,-2.3025850929940455
45,3,0.1,0.6130882736478325,-2.3025850929940455
46,3,0.1,0.9449657018975398,-2.3025850929940455
47,3,0.1,0.5508566674121864,-2.3025850929940455
48,3,0.1,0.5422034907927736,-2.3025850929940455
49,3,0.1,0.6940406599939224,-2.3025850929940455
50,3,0.1,1.234688723102169,-2.3025850929940455
51,3,0.1,1.0284193020927566,-2.3025850929940455
